,2010 Census Tract,Total Population    21 Years    and Under,Under 1 Year,1 & 2 Years,3 & 4 Years,5 Years,6 Years,7 to 9 Years,10 & 11 Years,12 & 13 Years,14 Years,15 Years,16 Years,17 Years,18 Years,19 Years,20 Years,21 Years
Brooklyn,253.0,687,32,70,62,28,27,94,53,49,22,26,35,22,40,37,42,48
Brooklyn,254.0,933,41,69,95,40,42,140,90,82,41,45,37,37,46,39,39,50
Brooklyn,255.0,"2,034",77,144,126,69,65,248,168,186,100,116,127,115,124,132,130,107
Brooklyn,256.0,735,32,55,70,30,34,85,68,68,39,32,37,42,37,35,38,33
Brooklyn,257.0,701,37,72,53,32,35,83,60,53,34,35,43,27,29,30,49,29
Brooklyn,258.0,"1,224",60,117,108,53,58,140,104,116,47,52,56,74,56,66,54,63
Brooklyn,259.01,690,27,41,67,38,44,83,65,57,23,29,33,30,32,40,35,46
Brooklyn,259.02,"1,441",50,103,77,56,54,150,154,135,70,73,93,88,85,92,84,77
Brooklyn,260.0,947,54,84,80,32,48,114,76,78,38,53,35,43,48,47,57,60
Brooklyn,261.0,"1,526",71,156,131,68,58,210,129,109,64,72,73,71,72,91,73,78
Brooklyn,262.0,570,21,37,40,21,21,71,51,58,36,38,28,33,23,26,36,30
Brooklyn,263.0,559,31,49,59,23,23,62,45,43,25,26,24,24,30,29,36,30
Brooklyn,264.0,"1,171",65,100,96,53,38,122,77,93,78,62,51,63,72,65,68,68
Brooklyn,265.0,"1,241",44,115,104,50,42,150,120,118,54,70,46,80,55,77,75,41
Brooklyn,266.0,959,36,90,77,41,39,115,82,102,37,44,51,47,42,46,55,55
Brooklyn,267.0,902,48,70,82,49,40,106,103,85,47,43,34,44,42,35,48,26
Brooklyn,268.0,"1,105",48,99,96,49,53,155,88,101,48,55,50,51,46,46,58,62
Brooklyn,269.0,699,30,67,56,21,22,67,50,71,31,25,43,46,39,40,43,48
Brooklyn,270.0,651,26,41,51,28,15,94,59,54,43,35,35,40,35,33,25,37
Brooklyn,271.0,754,25,60,61,28,28,107,75,72,32,35,42,34,42,40,37,36
Brooklyn,272.0,"1,000",26,75,100,40,39,137,90,80,50,61,52,46,53,55,42,54
Brooklyn,273.0,730,37,64,67,35,23,73,61,56,41,45,39,36,41,28,43,41
Brooklyn,274.0,769,41,69,60,38,40,103,53,72,45,28,36,35,30,43,34,42
Brooklyn,275.0,"1,059",39,87,94,49,41,110,97,85,62,36,60,46,61,62,48,82
Brooklyn,276.0,"1,007",52,96,110,57,41,134,71,96,53,39,26,44,40,42,55,51
Brooklyn,277.0,"1,374",76,95,118,58,53,184,112,125,68,79,77,86,80,72,45,46
Brooklyn,278.0,809,38,84,91,41,51,93,63,61,26,27,32,42,35,39,43,43
Brooklyn,279.0,"1,089",40,95,81,49,38,145,110,93,44,49,58,60,57,55,63,52
Brooklyn,280.0,401,17,43,35,23,12,49,24,32,14,16,17,30,16,24,25,24
Brooklyn,281.0,"1,604",77,147,132,82,69,197,140,136,86,82,62,82,75,64,100,73
Brooklyn,282.0,633,38,59,59,36,23,107,43,58,23,25,18,28,24,22,35,35
Brooklyn,283.0,"1,438",57,109,122,54,53,168,121,137,78,62,66,96,74,80,81,80
Brooklyn,284.0,"1,041",47,99,88,55,42,126,96,92,38,43,46,47,44,64,55,59
Brooklyn,285.01,137,11,8,17,7,9,18,10,12,8,6,2,11,5,4,7,2
Brooklyn,285.02,"1,002",31,64,54,35,38,119,98,96,53,55,49,51,72,70,61,56
Brooklyn,286.0,"1,140",78,132,121,59,48,162,94,84,32,59,40,40,49,39,56,47
Brooklyn,287.0,920,47,85,84,49,37,121,83,71,33,43,38,32,40,34,58,65
Brooklyn,288.0,856,41,66,78,35,49,100,60,94,34,38,28,45,40,44,61,43
Brooklyn,289.0,"1,165",53,99,90,46,51,147,100,99,56,51,59,67,61,61,67,58
Brooklyn,290.0,"1,060",49,111,102,44,55,133,82,83,51,45,47,52,53,52,50,51
Brooklyn,291.0,927,40,72,82,33,32,107,73,101,47,49,41,56,47,52,45,50
Brooklyn,292.0,690,39,69,62,28,36,79,56,64,31,24,28,38,29,32,29,46
Brooklyn,293.0,948,36,78,76,33,31,115,62,85,40,43,57,55,46,61,73,57
Brooklyn,294.0,439,20,35,44,17,13,42,44,38,19,23,24,14,24,23,29,30
Brooklyn,295.0,894,49,75,79,39,38,128,87,83,32,40,38,48,41,37,42,38
Brooklyn,296.0,"1,412",51,124,114,69,74,195,124,129,54,68,73,65,58,63,66,85
Brooklyn,297.0,922,47,76,77,52,39,94,94,86,47,45,45,53,43,39,44,41
Brooklyn,298.0,"1,019",46,100,89,52,44,119,92,81,54,41,41,48,50,57,40,65
Brooklyn,299.0,969,47,81,92,32,48,125,71,80,49,38,64,49,56,47,47,43
Brooklyn,300.0,"1,081",54,95,129,58,45,149,92,91,47,47,54,42,35,56,45,42
Brooklyn,301.0,903,33,71,71,42,33,98,88,94,40,46,51,46,40,50,64,36
Brooklyn,302.0,"1,020",64,102,106,39,58,131,87,88,43,42,40,40,46,46,45,43
Brooklyn,303.0,"1,761",78,147,178,76,62,220,159,145,95,79,84,82,107,79,88,82
Brooklyn,304.0,"1,017",52,81,83,54,41,151,83,93,53,59,54,52,43,25,46,47
Brooklyn,305.0,"1,076",67,112,99,35,42,126,94,91,47,44,51,39,54,42,48,85
Brooklyn,306.0,529,21,53,57,28,26,63,29,47,22,23,37,24,24,34,20,21
Brooklyn,307.0,"1,634",71,164,148,84,69,215,157,139,61,83,70,62,81,90,65,75
Brooklyn,308.0,403,11,40,38,22,14,50,32,28,23,20,16,21,18,27,22,21
Brooklyn,309.0,646,23,57,54,32,21,71,64,56,35,35,32,39,27,36,31,33
