index,School Year,Grade Level,Count of Students,total,White,   Black/ African American,     American Indian and Alaska Native,      Asian,Native Hawaiian and Other Pacific Islander,  Some Other Race,Two or More Races,Hispanic Origin (of any race),Total Population    21 Years    and Under,Under 1 Year,1 & 2 Years,3 & 4 Years,5 Years,6 Years,7 to 9 Years,10 & 11 Years,12 & 13 Years,14 Years,15 Years,16 Years,17 Years,18 Years,19 Years,20 Years,21 Years
274,20092010,K,27.00,620.00,256.00,3.00,0.00,256.00,0.00,1.00,27.00,77.00,769.00,41.00,69.00,60.00,38.00,40.00,103.00,53.00,72.00,45.00,28.00,36.00,35.00,30.00,43.00,34.00,42.00
276,20092010,K,46.00,819.00,261.00,10.00,5.00,301.00,0.00,12.00,6.00,224.00,1007.00,52.00,96.00,110.00,57.00,41.00,134.00,71.00,96.00,53.00,39.00,26.00,44.00,40.00,42.00,55.00,51.00
278,20092010,K,32.00,649.00,284.00,2.00,5.00,212.00,0.00,0.00,6.00,140.00,809.00,38.00,84.00,91.00,41.00,51.00,93.00,63.00,61.00,26.00,27.00,32.00,42.00,35.00,39.00,43.00,43.00
280,20092010,K,20.00,312.00,125.00,0.00,0.00,114.00,1.00,1.00,2.00,69.00,401.00,17.00,43.00,35.00,23.00,12.00,49.00,24.00,32.00,14.00,16.00,17.00,30.00,16.00,24.00,25.00,24.00
282,20092010,K,22.00,517.00,237.00,0.00,0.00,208.00,0.00,1.00,9.00,62.00,633.00,38.00,59.00,59.00,36.00,23.00,107.00,43.00,58.00,23.00,25.00,18.00,28.00,24.00,22.00,35.00,35.00
284,20092010,K,40.00,819.00,363.00,7.00,3.00,247.00,0.00,5.00,23.00,171.00,1041.00,47.00,99.00,88.00,55.00,42.00,126.00,96.00,92.00,38.00,43.00,46.00,47.00,44.00,64.00,55.00,59.00
286,20092010,K,59.00,949.00,408.00,24.00,0.00,314.00,0.00,9.00,13.00,181.00,1140.00,78.00,132.00,121.00,59.00,48.00,162.00,94.00,84.00,32.00,59.00,40.00,40.00,49.00,39.00,56.00,47.00
288,20092010,K,8.00,668.00,247.00,7.00,1.00,250.00,0.00,2.00,5.00,156.00,856.00,41.00,66.00,78.00,35.00,49.00,100.00,60.00,94.00,34.00,38.00,28.00,45.00,40.00,44.00,61.00,43.00
290,20092010,K,12.00,854.00,585.00,4.00,0.00,114.00,0.00,2.00,21.00,128.00,1060.00,49.00,111.00,102.00,44.00,55.00,133.00,82.00,83.00,51.00,45.00,47.00,52.00,53.00,52.00,50.00,51.00
292,20092010,K,25.00,554.00,243.00,6.00,0.00,177.00,0.00,0.00,9.00,119.00,690.00,39.00,69.00,62.00,28.00,36.00,79.00,56.00,64.00,31.00,24.00,28.00,38.00,29.00,32.00,29.00,46.00
294,20092010,K,6.00,333.00,128.00,3.00,0.00,134.00,0.00,2.00,21.00,45.00,439.00,20.00,35.00,44.00,17.00,13.00,42.00,44.00,38.00,19.00,23.00,24.00,14.00,24.00,23.00,29.00,30.00
296,20092010,K,9.00,1140.00,584.00,9.00,3.00,328.00,0.00,4.00,37.00,175.00,1412.00,51.00,124.00,114.00,69.00,74.00,195.00,124.00,129.00,54.00,68.00,73.00,65.00,58.00,63.00,66.00,85.00
298,20092010,K,0.00,807.00,290.00,11.00,0.00,287.00,0.00,4.00,6.00,209.00,1019.00,46.00,100.00,89.00,52.00,44.00,119.00,92.00,81.00,54.00,41.00,41.00,48.00,50.00,57.00,40.00,65.00
421,20092010,K,0.00,1008.00,24.00,168.00,1.00,44.00,0.00,2.00,6.00,763.00,1294.00,50.00,118.00,114.00,55.00,56.00,171.00,96.00,119.00,53.00,53.00,59.00,64.00,66.00,64.00,82.00,74.00
428,20092010,K,0.00,686.00,404.00,0.00,0.00,189.00,0.00,2.00,14.00,77.00,831.00,42.00,86.00,79.00,45.00,45.00,104.00,78.00,69.00,41.00,29.00,33.00,35.00,25.00,31.00,51.00,38.00
430,20092010,K,20.00,596.00,266.00,1.00,0.00,220.00,0.00,0.00,11.00,98.00,766.00,33.00,59.00,81.00,31.00,26.00,82.00,56.00,74.00,25.00,38.00,54.00,37.00,36.00,32.00,44.00,58.00
432,20092010,K,13.00,816.00,285.00,6.00,0.00,289.00,0.00,2.00,15.00,219.00,1039.00,57.00,100.00,99.00,40.00,50.00,149.00,76.00,72.00,40.00,41.00,44.00,48.00,49.00,45.00,59.00,70.00
434,20092010,K,0.00,586.00,259.00,5.00,0.00,166.00,0.00,3.00,9.00,144.00,770.00,20.00,60.00,62.00,39.00,29.00,95.00,67.00,74.00,32.00,31.00,42.00,35.00,52.00,43.00,47.00,42.00
436,20092010,K,0.00,781.00,381.00,6.00,0.00,216.00,1.00,8.00,20.00,149.00,994.00,50.00,94.00,88.00,44.00,42.00,129.00,69.00,86.00,61.00,40.00,36.00,42.00,54.00,54.00,43.00,62.00
462.01,20092010,K,0.00,682.00,480.00,6.00,0.00,101.00,0.00,2.00,21.00,72.00,802.00,42.00,93.00,81.00,36.00,47.00,127.00,66.00,58.00,33.00,40.00,30.00,29.00,34.00,30.00,29.00,27.00
464,20092010,K,0.00,1325.00,1262.00,4.00,0.00,20.00,0.00,1.00,3.00,35.00,1524.00,71.00,141.00,163.00,79.00,68.00,227.00,144.00,136.00,83.00,71.00,65.00,77.00,59.00,53.00,47.00,40.00
468,20092010,K,1.00,985.00,956.00,0.00,0.00,3.00,1.00,0.00,9.00,16.00,1060.00,77.00,111.00,131.00,79.00,63.00,188.00,104.00,88.00,45.00,38.00,33.00,28.00,25.00,20.00,14.00,16.00
470,20092010,K,2.00,1214.00,1197.00,0.00,0.00,1.00,1.00,0.00,6.00,9.00,1436.00,66.00,157.00,132.00,61.00,65.00,211.00,112.00,144.00,57.00,88.00,72.00,49.00,68.00,53.00,52.00,49.00
472,20092010,K,0.00,1417.00,1389.00,16.00,0.00,0.00,0.00,0.00,6.00,6.00,1626.00,77.00,181.00,191.00,87.00,76.00,249.00,159.00,135.00,64.00,64.00,65.00,69.00,70.00,49.00,47.00,43.00
474,20092010,K,1.00,1231.00,1216.00,0.00,0.00,1.00,0.00,2.00,7.00,5.00,1437.00,88.00,170.00,143.00,76.00,69.00,200.00,119.00,116.00,58.00,77.00,55.00,60.00,59.00,66.00,32.00,49.00
476,20092010,K,5.00,1495.00,1401.00,6.00,0.00,13.00,0.00,6.00,17.00,52.00,1782.00,88.00,186.00,186.00,81.00,85.00,236.00,154.00,171.00,72.00,84.00,69.00,83.00,76.00,87.00,65.00,59.00
478,20092010,K,16.00,1897.00,1590.00,14.00,0.00,59.00,0.00,10.00,17.00,207.00,2281.00,126.00,224.00,213.00,99.00,104.00,329.00,205.00,198.00,117.00,89.00,103.00,90.00,90.00,102.00,105.00,87.00
480,20092010,K,4.00,1353.00,1042.00,16.00,0.00,122.00,0.00,1.00,24.00,148.00,1584.00,90.00,156.00,161.00,92.00,93.00,221.00,142.00,139.00,65.00,68.00,72.00,54.00,71.00,54.00,50.00,56.00
484,20092010,K,33.00,1878.00,1392.00,65.00,1.00,137.00,0.00,15.00,27.00,241.00,2243.00,106.00,193.00,193.00,113.00,103.00,326.00,217.00,193.00,118.00,104.00,96.00,116.00,93.00,95.00,92.00,85.00
486,20092010,K,30.00,1108.00,295.00,20.00,8.00,440.00,0.00,3.00,43.00,299.00,1349.00,64.00,114.00,127.00,70.00,78.00,186.00,120.00,114.00,59.00,55.00,60.00,61.00,58.00,71.00,49.00,63.00
488,20092010,K,30.00,1220.00,654.00,46.00,8.00,274.00,0.00,4.00,50.00,184.00,1499.00,54.00,126.00,142.00,67.00,62.00,209.00,125.00,134.00,69.00,78.00,76.00,78.00,78.00,63.00,51.00,87.00
489,20092010,K,0.00,1178.00,13.00,502.00,2.00,4.00,0.00,0.00,5.00,652.00,1523.00,61.00,125.00,118.00,46.00,66.00,176.00,127.00,147.00,65.00,66.00,87.00,94.00,74.00,90.00,89.00,92.00
490,20092010,K,39.00,1410.00,789.00,79.00,5.00,290.00,0.00,20.00,59.00,168.00,1736.00,95.00,157.00,163.00,67.00,79.00,238.00,149.00,149.00,73.00,84.00,67.00,89.00,74.00,84.00,86.00,82.00
492,20092010,K,10.00,866.00,277.00,106.00,2.00,215.00,0.00,17.00,26.00,223.00,1034.00,52.00,91.00,109.00,52.00,48.00,129.00,96.00,92.00,44.00,51.00,51.00,51.00,40.00,41.00,45.00,42.00
494,20092010,K,22.00,1066.00,483.00,101.00,2.00,226.00,0.00,8.00,47.00,199.00,1316.00,63.00,128.00,118.00,57.00,75.00,175.00,113.00,117.00,46.00,60.00,56.00,58.00,66.00,70.00,58.00,56.00
508.04,20092010,K,0.00,1499.00,30.00,755.00,2.00,37.00,0.00,11.00,17.00,647.00,1857.00,105.00,183.00,189.00,63.00,81.00,240.00,173.00,147.00,62.00,90.00,79.00,87.00,92.00,88.00,84.00,94.00
516.01,20092010,K,0.00,1510.00,23.00,1045.00,8.00,53.00,0.00,3.00,22.00,356.00,1911.00,91.00,212.00,132.00,84.00,68.00,224.00,170.00,182.00,83.00,94.00,84.00,86.00,112.00,95.00,105.00,89.00
610.02,20092010,K,0.00,682.00,645.00,0.00,2.00,6.00,0.00,2.00,12.00,15.00,803.00,45.00,96.00,99.00,45.00,34.00,95.00,69.00,72.00,35.00,40.00,23.00,29.00,33.00,27.00,33.00,28.00
696.02,20092010,K,0.00,1408.00,870.00,274.00,1.00,75.00,0.00,13.00,37.00,138.00,1708.00,69.00,137.00,128.00,68.00,83.00,244.00,162.00,162.00,93.00,87.00,91.00,84.00,73.00,75.00,65.00,87.00
726,20092010,K,0.00,413.00,0.00,368.00,0.00,0.00,0.00,6.00,19.00,20.00,533.00,16.00,52.00,43.00,33.00,17.00,56.00,48.00,43.00,29.00,23.00,28.00,25.00,27.00,28.00,30.00,35.00
902,20092010,K,0.00,1069.00,7.00,745.00,5.00,10.00,1.00,5.00,14.00,282.00,1348.00,54.00,113.00,112.00,53.00,60.00,156.00,112.00,128.00,75.00,72.00,58.00,76.00,73.00,68.00,62.00,76.00
906,20092010,K,0.00,1596.00,9.00,1057.00,4.00,6.00,0.00,1.00,16.00,503.00,1976.00,89.00,163.00,133.00,92.00,79.00,278.00,188.00,177.00,101.00,98.00,93.00,105.00,94.00,98.00,86.00,102.00
1144,20092010,K,0.00,777.00,5.00,419.00,1.00,11.00,6.00,11.00,7.00,317.00,964.00,59.00,88.00,90.00,32.00,53.00,118.00,76.00,108.00,42.00,43.00,36.00,32.00,45.00,38.00,41.00,63.00
