index,School Year,Grade Level,Count of Students,total,White,   Black/ African American,     American Indian and Alaska Native,      Asian,Native Hawaiian and Other Pacific Islander,  Some Other Race,Two or More Races,Hispanic Origin (of any race),Total Population    21 Years    and Under,Under 1 Year,1 & 2 Years,3 & 4 Years,5 Years,6 Years,7 to 9 Years,10 & 11 Years,12 & 13 Years,14 Years,15 Years,16 Years,17 Years,18 Years,19 Years,20 Years,21 Years
102,20092010,K,78.00,1312.00,39.00,13.00,0.00,848.00,0.00,4.00,22.00,386.00,1647.00,101.00,172.00,185.00,79.00,89.00,212.00,106.00,118.00,60.00,56.00,71.00,63.00,87.00,80.00,79.00,89.00
104,20092010,K,92.00,1338.00,78.00,14.00,4.00,1127.00,0.00,0.00,31.00,84.00,1682.00,80.00,149.00,188.00,84.00,91.00,211.00,135.00,127.00,71.00,62.00,60.00,80.00,75.00,81.00,83.00,105.00
106,20092010,K,43.00,1319.00,32.00,4.00,4.00,1101.00,1.00,2.00,8.00,167.00,1682.00,92.00,151.00,163.00,100.00,58.00,182.00,138.00,116.00,89.00,74.00,93.00,63.00,85.00,88.00,108.00,82.00
108,20092010,K,44.00,1261.00,88.00,6.00,0.00,957.00,0.00,0.00,11.00,199.00,1595.00,97.00,164.00,182.00,74.00,76.00,225.00,97.00,120.00,61.00,41.00,66.00,58.00,73.00,77.00,93.00,91.00
110,20092010,K,0.00,662.00,125.00,10.00,0.00,153.00,0.00,0.00,5.00,369.00,821.00,51.00,90.00,71.00,42.00,35.00,118.00,75.00,75.00,20.00,29.00,25.00,31.00,34.00,45.00,37.00,43.00
114,20092010,K,16.00,1176.00,832.00,28.00,0.00,161.00,0.00,13.00,20.00,122.00,1330.00,85.00,154.00,134.00,78.00,82.00,197.00,116.00,104.00,64.00,53.00,57.00,52.00,38.00,44.00,45.00,27.00
116,20092010,K,112.00,1334.00,136.00,1.00,1.00,1042.00,0.00,12.00,12.00,130.00,1578.00,64.00,169.00,179.00,79.00,99.00,235.00,121.00,142.00,55.00,55.00,77.00,59.00,57.00,66.00,54.00,67.00
118,20092010,K,25.00,555.00,36.00,1.00,0.00,453.00,0.00,1.00,6.00,58.00,681.00,28.00,70.00,76.00,41.00,27.00,85.00,54.00,57.00,32.00,25.00,32.00,28.00,31.00,29.00,36.00,30.00
120,20092010,K,21.00,311.00,17.00,0.00,0.00,250.00,0.00,0.00,0.00,44.00,388.00,25.00,29.00,28.00,20.00,26.00,54.00,30.00,33.00,15.00,21.00,14.00,16.00,12.00,15.00,27.00,23.00
122,20092010,K,71.00,1346.00,101.00,6.00,1.00,499.00,0.00,1.00,7.00,731.00,1652.00,86.00,178.00,155.00,77.00,61.00,235.00,145.00,114.00,68.00,61.00,83.00,83.00,66.00,78.00,88.00,74.00
