index,total,White,Black/ African American,Asian,Two or More Races,Hispanic Origin,race
82.0,1015.0,0.071921182266,0.0325123152709,0.0689655172414,0.00985221674877,0.812807881773,1
90.0,797.0,0.0752823086575,0.0150564617315,0.420326223338,0.00125470514429,0.483061480552,1
94.0,1389.0,0.17494600432,0.00575953923686,0.609071274298,0.0122390208783,0.19222462203,4
96.0,1567.0,0.0548819400128,0.00829610721123,0.26356094448,0.0114869176771,0.653477983408,1
98.0,1900.0,0.0415789473684,0.00789473684211,0.374210526316,0.0131578947368,0.561052631579,1
100.0,1628.0,0.0724815724816,0.00614250614251,0.498771498771,0.0128992628993,0.402334152334,4
102.0,1312.0,0.0297256097561,0.00990853658537,0.646341463415,0.0167682926829,0.294207317073,4
104.0,1338.0,0.0582959641256,0.0104633781764,0.842301943199,0.0231689088191,0.0627802690583,4
106.0,1319.0,0.0242608036391,0.00303260045489,0.834723275208,0.00606520090978,0.126611068992,4
108.0,1261.0,0.0697858842189,0.00475812846947,0.75892149088,0.00872323552736,0.157811260904,4
110.0,662.0,0.188821752266,0.0151057401813,0.231117824773,0.00755287009063,0.557401812689,1
114.0,1176.0,0.707482993197,0.0238095238095,0.136904761905,0.0170068027211,0.103741496599,0
116.0,1334.0,0.101949025487,0.000749625187406,0.781109445277,0.00899550224888,0.0974512743628,4
118.0,555.0,0.0648648648649,0.0018018018018,0.816216216216,0.0108108108108,0.104504504505,4
120.0,311.0,0.0546623794212,0.0,0.8038585209,0.0,0.141479099678,4
122.0,1346.0,0.0750371471025,0.00445765230312,0.37072808321,0.00520059435364,0.54309063893,1
128.01,450.0,0.248888888889,0.00888888888889,0.622222222222,0.0266666666667,0.0933333333333,4
130.0,1051.0,0.465271170314,0.0133206470029,0.151284490961,0.0504281636537,0.313035204567,2
132.0,553.0,0.433996383363,0.00361663652803,0.376130198915,0.0216998191682,0.164556962025,2
134.0,834.0,0.592326139089,0.0215827338129,0.136690647482,0.0479616306954,0.201438848921,2
136.0,816.0,0.617647058824,0.00367647058824,0.110294117647,0.0441176470588,0.219362745098,0
138.0,537.0,0.662942271881,0.0111731843575,0.096834264432,0.024208566108,0.199255121043,0
140.0,342.0,0.748538011696,0.00877192982456,0.0964912280702,0.0263157894737,0.119883040936,0
142.0,584.0,0.58904109589,0.0205479452055,0.131849315068,0.041095890411,0.208904109589,2
