census tract,total,White,   Black/ African American,     American Indian and Alaska Native,      Asian,Native Hawaiian and Other Pacific Islander,  Some Other Race,Two or More Races,Hispanic Origin (of any race)
994.00,533.00,9.00,470.00,1.00,0.00,0.00,1.00,11.00,41.00
996.00,891.00,12.00,811.00,0.00,10.00,0.00,2.00,21.00,35.00
998.00,908.00,21.00,802.00,2.00,12.00,0.00,5.00,16.00,50.00
1004.00,585.00,5.00,526.00,0.00,2.00,0.00,4.00,4.00,44.00
1006.00,582.00,12.00,499.00,0.00,11.00,0.00,0.00,11.00,49.00
1008.00,540.00,25.00,435.00,4.00,17.00,0.00,1.00,15.00,43.00
1010.00,606.00,22.00,470.00,1.00,40.00,0.00,2.00,22.00,49.00
1012.00,464.00,12.00,397.00,1.00,12.00,0.00,4.00,11.00,27.00
1014.00,481.00,11.00,404.00,0.00,13.00,1.00,3.00,8.00,41.00
1016.00,344.00,0.00,312.00,0.00,6.00,0.00,0.00,7.00,19.00
1018.00,402.00,18.00,345.00,2.00,2.00,0.00,0.00,4.00,31.00
1020.00,428.00,7.00,378.00,1.00,0.00,0.00,2.00,14.00,26.00
1022.00,499.00,8.00,382.00,0.00,46.00,0.00,3.00,4.00,56.00
1024.00,537.00,12.00,453.00,1.00,14.00,0.00,3.00,4.00,50.00
1026.00,662.00,2.00,596.00,4.00,2.00,0.00,7.00,16.00,35.00
1028.00,399.00,0.00,329.00,1.00,15.00,0.00,0.00,5.00,49.00
1034.00,1216.00,13.00,883.00,8.00,0.00,0.00,2.00,18.00,292.00
1058.01,1344.00,130.00,877.00,5.00,32.00,0.00,4.00,17.00,279.00
1058.04,1279.00,125.00,846.00,5.00,13.00,0.00,3.00,24.00,263.00
1070.00,71.00,0.00,63.00,0.00,0.00,0.00,0.00,1.00,7.00
1078.00,684.00,2.00,609.00,1.00,1.00,0.00,3.00,15.00,53.00
1098.00,603.00,4.00,482.00,0.00,10.00,0.00,1.00,12.00,94.00
1104.00,1236.00,11.00,965.00,4.00,0.00,0.00,11.00,21.00,224.00
1106.00,1316.00,10.00,938.00,7.00,8.00,1.00,0.00,16.00,336.00
1110.00,917.00,4.00,682.00,4.00,0.00,0.00,0.00,10.00,217.00
1116.00,956.00,1.00,732.00,6.00,7.00,0.00,1.00,13.00,196.00
1118.00,938.00,11.00,637.00,1.00,5.00,4.00,5.00,5.00,270.00
1120.00,815.00,9.00,506.00,3.00,13.00,0.00,3.00,3.00,278.00
1122.00,960.00,8.00,732.00,6.00,5.00,0.00,1.00,17.00,191.00
1124.00,1025.00,7.00,805.00,2.00,0.00,0.00,5.00,13.00,193.00
1126.00,1103.00,12.00,790.00,1.00,6.00,1.00,2.00,11.00,280.00
1128.00,1008.00,9.00,762.00,2.00,2.00,0.00,1.00,11.00,221.00
1130.00,1173.00,2.00,865.00,7.00,1.00,0.00,10.00,17.00,271.00
1132.00,509.00,0.00,397.00,0.00,0.00,0.00,0.00,6.00,106.00
1134.00,1045.00,3.00,655.00,3.00,6.00,0.00,5.00,9.00,364.00
1142.01,370.00,3.00,101.00,8.00,3.00,0.00,1.00,5.00,249.00
1142.02,805.00,8.00,242.00,6.00,10.00,0.00,5.00,14.00,520.00
1144.00,777.00,5.00,419.00,1.00,11.00,6.00,11.00,7.00,317.00
1146.00,832.00,6.00,268.00,2.00,28.00,0.00,7.00,17.00,504.00
1150.00,885.00,2.00,442.00,1.00,6.00,0.00,6.00,13.00,415.00
1152.00,1047.00,0.00,685.00,1.00,16.00,1.00,5.00,19.00,320.00
1156.00,1431.00,16.00,865.00,3.00,16.00,0.00,7.00,9.00,515.00
1158.00,837.00,3.00,597.00,0.00,4.00,0.00,4.00,7.00,222.00
1160.00,725.00,8.00,467.00,0.00,0.00,0.00,2.00,13.00,235.00
1162.00,537.00,0.00,422.00,1.00,0.00,0.00,3.00,10.00,101.00
1164.00,792.00,0.00,494.00,1.00,18.00,0.00,15.00,6.00,258.00
1166.00,891.00,7.00,485.00,0.00,27.00,0.00,1.00,7.00,364.00
1168.00,609.00,5.00,168.00,2.00,14.00,0.00,16.00,8.00,396.00
1170.00,550.00,11.00,112.00,7.00,35.00,1.00,21.00,7.00,356.00
1172.01,729.00,18.00,130.00,2.00,19.00,1.00,31.00,7.00,521.00
1172.02,1133.00,17.00,273.00,7.00,30.00,0.00,36.00,17.00,753.00
1174.00,1242.00,30.00,230.00,15.00,43.00,2.00,49.00,5.00,868.00
1176.01,802.00,20.00,113.00,12.00,19.00,0.00,45.00,15.00,578.00
1176.02,909.00,14.00,162.00,0.00,46.00,0.00,35.00,25.00,627.00
1178.00,490.00,10.00,85.00,6.00,66.00,0.00,26.00,20.00,277.00
1180.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
1182.01,860.00,20.00,114.00,8.00,57.00,0.00,21.00,34.00,606.00
1182.02,870.00,16.00,95.00,2.00,63.00,0.00,30.00,15.00,649.00
1184.00,1474.00,39.00,167.00,15.00,91.00,3.00,30.00,37.00,1092.00
1186.00,811.00,12.00,115.00,8.00,131.00,0.00,52.00,20.00,473.00
1188.00,1379.00,23.00,192.00,21.00,498.00,1.00,67.00,57.00,520.00
1190.00,688.00,7.00,203.00,12.00,85.00,1.00,46.00,27.00,307.00
1192.00,898.00,6.00,441.00,1.00,43.00,3.00,1.00,6.00,397.00
1194.00,1133.00,5.00,728.00,3.00,17.00,0.00,9.00,8.00,363.00
1196.00,1577.00,19.00,641.00,5.00,359.00,0.00,25.00,34.00,494.00
1198.00,980.00,23.00,357.00,0.00,24.00,3.00,16.00,9.00,548.00
1200.00,558.00,8.00,233.00,4.00,137.00,0.00,17.00,17.00,142.00
1202.00,576.00,11.00,66.00,15.00,299.00,3.00,34.00,18.00,130.00
1208.00,2509.00,16.00,1845.00,20.00,65.00,0.00,13.00,33.00,517.00
1210.00,1250.00,11.00,575.00,0.00,0.00,0.00,11.00,13.00,640.00
1214.00,1480.00,7.00,865.00,5.00,6.00,0.00,4.00,10.00,583.00
1220.00,1802.00,24.00,1367.00,3.00,19.00,0.00,5.00,22.00,362.00
1237.00,3336.00,2934.00,47.00,0.00,1.00,14.00,21.00,21.00,298.00
1502.00,503.00,288.00,12.00,0.00,39.00,0.00,5.00,23.00,136.00
1522.00,760.00,233.00,143.00,6.00,190.00,0.00,19.00,40.00,129.00
9901.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
