census tract,total,White,   Black/ African American,     American Indian and Alaska Native,      Asian,Native Hawaiian and Other Pacific Islander,  Some Other Race,Two or More Races,Hispanic Origin (of any race)
142.00,584.00,344.00,12.00,2.00,77.00,0.00,3.00,24.00,122.00
143.00,582.00,150.00,18.00,0.00,48.00,0.00,6.00,28.00,332.00
145.00,761.00,183.00,35.00,4.00,28.00,0.00,8.00,28.00,475.00
147.00,399.00,123.00,12.00,0.00,14.00,0.00,2.00,19.00,229.00
148.00,219.00,173.00,0.00,0.00,22.00,0.00,0.00,2.00,22.00
149.00,793.00,482.00,41.00,0.00,34.00,0.00,7.00,41.00,188.00
150.00,290.00,203.00,0.00,0.00,52.00,0.00,0.00,6.00,29.00
151.00,716.00,516.00,18.00,0.00,27.00,0.00,8.00,78.00,69.00
152.00,414.00,255.00,1.00,0.00,75.00,0.00,1.00,19.00,63.00
153.00,511.00,342.00,38.00,0.00,24.00,0.00,9.00,34.00,64.00
154.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
155.00,642.00,477.00,22.00,2.00,22.00,0.00,3.00,43.00,73.00
157.00,725.00,530.00,19.00,0.00,42.00,1.00,8.00,60.00,65.00
159.00,749.00,525.00,49.00,3.00,17.00,0.00,15.00,80.00,60.00
160.00,856.00,411.00,30.00,1.00,183.00,0.00,8.00,24.00,199.00
161.00,470.00,259.00,76.00,1.00,11.00,3.00,4.00,46.00,70.00
162.00,330.00,177.00,19.00,0.00,39.00,2.00,4.00,19.00,70.00
163.00,419.00,191.00,80.00,3.00,28.00,0.00,4.00,50.00,63.00
164.00,297.00,72.00,66.00,3.00,15.00,0.00,3.00,21.00,117.00
165.00,1015.00,780.00,25.00,1.00,43.00,0.00,10.00,80.00,76.00
166.00,385.00,334.00,0.00,1.00,20.00,0.00,0.00,7.00,23.00
167.00,882.00,683.00,27.00,2.00,20.00,0.00,8.00,58.00,84.00
168.00,261.00,150.00,0.00,1.00,73.00,0.00,3.00,4.00,30.00
169.00,716.00,363.00,21.00,0.00,25.00,0.00,10.00,37.00,260.00
170.00,729.00,334.00,3.00,2.00,299.00,0.00,0.00,14.00,77.00
171.00,780.00,576.00,7.00,2.00,46.00,0.00,7.00,54.00,88.00
172.00,610.00,248.00,3.00,0.00,249.00,0.00,1.00,18.00,91.00
174.00,373.00,179.00,0.00,1.00,138.00,0.00,0.00,7.00,48.00
175.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
176.00,423.00,171.00,6.00,0.00,142.00,0.00,0.00,11.00,93.00
177.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
178.00,602.00,197.00,3.00,0.00,244.00,0.00,3.00,15.00,140.00
179.00,604.00,70.00,406.00,0.00,5.00,0.00,1.00,30.00,92.00
180.00,728.00,254.00,1.00,1.00,259.00,0.00,1.00,13.00,199.00
181.00,460.00,219.00,122.00,2.00,12.00,0.00,5.00,49.00,51.00
182.00,617.00,152.00,3.00,0.00,364.00,0.00,1.00,14.00,83.00
183.00,347.00,157.00,93.00,0.00,2.00,0.00,0.00,36.00,59.00
184.00,387.00,209.00,0.00,0.00,150.00,0.00,1.00,8.00,19.00
185.01,1037.00,23.00,622.00,3.00,51.00,0.00,2.00,13.00,323.00
186.00,453.00,183.00,5.00,0.00,218.00,0.00,1.00,6.00,40.00
187.00,253.00,46.00,92.00,0.00,4.00,0.00,2.00,18.00,91.00
188.00,511.00,228.00,0.00,0.00,192.00,0.00,3.00,2.00,86.00
190.00,1069.00,277.00,6.00,1.00,415.00,1.00,7.00,19.00,343.00
191.00,444.00,108.00,125.00,0.00,8.00,0.00,6.00,21.00,176.00
192.00,951.00,592.00,6.00,0.00,190.00,0.00,7.00,20.00,136.00
193.00,674.00,275.00,242.00,0.00,4.00,0.00,5.00,36.00,112.00
194.00,657.00,125.00,1.00,0.00,381.00,1.00,5.00,15.00,129.00
195.00,438.00,143.00,154.00,2.00,12.00,0.00,5.00,40.00,82.00
196.00,891.00,280.00,3.00,0.00,371.00,0.00,1.00,11.00,225.00
197.00,462.00,152.00,188.00,0.00,17.00,0.00,5.00,49.00,51.00
198.00,327.00,170.00,0.00,0.00,71.00,0.00,1.00,4.00,81.00
199.00,370.00,105.00,183.00,0.00,8.00,0.00,2.00,23.00,49.00
200.00,520.00,271.00,0.00,2.00,129.00,0.00,2.00,5.00,111.00
201.00,478.00,172.00,200.00,0.00,10.00,0.00,6.00,43.00,47.00
202.00,380.00,251.00,1.00,0.00,83.00,0.00,1.00,6.00,38.00
203.00,271.00,54.00,101.00,0.00,39.00,1.00,1.00,13.00,62.00
204.00,338.00,250.00,0.00,1.00,44.00,0.00,0.00,3.00,40.00
205.00,357.00,108.00,141.00,3.00,16.00,0.00,2.00,40.00,47.00
206.00,471.00,309.00,0.00,0.00,70.00,0.00,0.00,9.00,83.00
207.00,642.00,274.00,187.00,0.00,19.00,1.00,13.00,68.00,80.00
208.00,615.00,178.00,0.00,0.00,334.00,0.00,2.00,17.00,84.00
210.00,872.00,270.00,4.00,0.00,485.00,0.00,3.00,5.00,105.00
211.00,248.00,10.00,122.00,0.00,7.00,0.00,3.00,12.00,94.00
212.00,1098.00,195.00,5.00,0.00,734.00,0.00,2.00,19.00,143.00
213.00,812.00,36.00,631.00,6.00,4.00,0.00,3.00,24.00,108.00
214.00,765.00,498.00,0.00,0.00,212.00,0.00,2.00,9.00,44.00
215.00,884.00,214.00,413.00,0.00,43.00,0.00,5.00,72.00,137.00
216.00,1754.00,1572.00,4.00,0.00,118.00,0.00,0.00,13.00,47.00
217.00,744.00,59.00,483.00,2.00,34.00,0.00,3.00,34.00,129.00
218.00,1631.00,1503.00,2.00,3.00,34.00,0.00,0.00,2.00,87.00
219.00,546.00,39.00,432.00,1.00,1.00,0.00,6.00,19.00,48.00
220.00,2062.00,1885.00,7.00,1.00,68.00,0.00,4.00,9.00,88.00
221.00,585.00,14.00,443.00,0.00,9.00,0.00,6.00,22.00,91.00
222.00,2016.00,1831.00,3.00,0.00,32.00,0.00,4.00,10.00,136.00
224.00,2484.00,2011.00,18.00,1.00,158.00,0.00,4.00,6.00,286.00
226.00,824.00,245.00,5.00,10.00,115.00,0.00,1.00,15.00,433.00
227.00,663.00,37.00,507.00,0.00,50.00,0.00,2.00,24.00,43.00
228.00,1300.00,848.00,9.00,6.00,240.00,0.00,4.00,30.00,163.00
229.00,562.00,44.00,396.00,2.00,17.00,1.00,3.00,23.00,76.00
230.00,1982.00,1581.00,16.00,1.00,76.00,0.00,0.00,23.00,285.00
231.00,437.00,88.00,248.00,0.00,3.00,0.00,4.00,30.00,64.00
232.00,2556.00,2322.00,5.00,0.00,113.00,0.00,1.00,17.00,98.00
233.00,1289.00,181.00,737.00,0.00,8.00,0.00,3.00,24.00,336.00
234.00,2147.00,2103.00,4.00,0.00,5.00,0.00,6.00,9.00,20.00
235.00,1323.00,902.00,90.00,2.00,6.00,0.00,0.00,22.00,301.00
236.00,2281.00,2160.00,3.00,4.00,87.00,0.00,4.00,9.00,14.00
238.00,1839.00,1787.00,0.00,0.00,6.00,0.00,1.00,8.00,37.00
240.00,1794.00,1718.00,5.00,0.00,20.00,0.00,0.00,7.00,44.00
241.00,271.00,58.00,123.00,0.00,3.00,0.00,2.00,6.00,79.00
242.00,1153.00,1073.00,0.00,0.00,33.00,0.00,0.00,1.00,46.00
243.00,653.00,39.00,455.00,1.00,17.00,0.00,7.00,20.00,114.00
244.00,1255.00,1053.00,1.00,0.00,98.00,0.00,4.00,6.00,93.00
245.00,798.00,35.00,598.00,2.00,65.00,0.00,2.00,13.00,83.00
246.00,1037.00,726.00,7.00,2.00,210.00,0.00,1.00,4.00,87.00
247.00,507.00,11.00,374.00,0.00,55.00,0.00,5.00,18.00,44.00
248.00,640.00,332.00,3.00,0.00,231.00,0.00,0.00,4.00,70.00
249.00,740.00,36.00,581.00,0.00,12.00,0.00,11.00,23.00,77.00
250.00,350.00,48.00,4.00,0.00,233.00,0.00,0.00,4.00,61.00
251.00,991.00,20.00,680.00,0.00,21.00,0.00,4.00,22.00,244.00
252.00,925.00,330.00,5.00,0.00,391.00,0.00,1.00,17.00,181.00
253.00,520.00,31.00,320.00,0.00,18.00,2.00,0.00,20.00,129.00
254.00,759.00,233.00,5.00,2.00,393.00,0.00,2.00,8.00,116.00
255.00,1541.00,23.00,569.00,11.00,18.00,1.00,2.00,19.00,898.00
256.00,592.00,160.00,5.00,0.00,343.00,0.00,1.00,17.00,66.00
257.00,564.00,16.00,215.00,7.00,11.00,0.00,0.00,6.00,309.00
258.00,985.00,367.00,8.00,2.00,363.00,0.00,2.00,11.00,232.00
259.01,537.00,4.00,234.00,0.00,2.00,0.00,0.00,7.00,290.00
259.02,1103.00,8.00,529.00,5.00,12.00,0.00,0.00,15.00,534.00
260.00,735.00,216.00,0.00,3.00,399.00,3.00,1.00,14.00,99.00
261.00,1212.00,27.00,763.00,2.00,4.00,0.00,6.00,38.00,372.00
262.00,455.00,125.00,4.00,2.00,229.00,0.00,0.00,12.00,83.00
263.00,434.00,4.00,315.00,1.00,2.00,0.00,1.00,5.00,106.00
264.00,898.00,303.00,7.00,1.00,342.00,0.00,8.00,14.00,223.00
265.00,993.00,7.00,727.00,6.00,20.00,1.00,4.00,20.00,208.00
266.00,761.00,274.00,0.00,2.00,339.00,0.00,0.00,14.00,132.00
267.00,751.00,20.00,576.00,1.00,10.00,0.00,4.00,26.00,114.00
268.00,893.00,406.00,3.00,0.00,293.00,0.00,4.00,6.00,181.00
269.00,529.00,32.00,404.00,2.00,13.00,0.00,2.00,15.00,61.00
270.00,521.00,326.00,2.00,0.00,152.00,0.00,1.00,5.00,35.00
271.00,599.00,4.00,467.00,1.00,39.00,0.00,2.00,11.00,75.00
272.00,796.00,347.00,0.00,1.00,272.00,0.00,3.00,10.00,163.00
273.00,577.00,14.00,492.00,1.00,8.00,0.00,0.00,16.00,46.00
274.00,620.00,256.00,3.00,0.00,256.00,0.00,1.00,27.00,77.00
275.00,806.00,27.00,621.00,9.00,10.00,0.00,0.00,37.00,102.00
276.00,819.00,261.00,10.00,5.00,301.00,0.00,12.00,6.00,224.00
277.00,1131.00,11.00,971.00,3.00,0.00,0.00,2.00,13.00,131.00
278.00,649.00,284.00,2.00,5.00,212.00,0.00,0.00,6.00,140.00
279.00,862.00,10.00,683.00,3.00,2.00,0.00,2.00,21.00,141.00
280.00,312.00,125.00,0.00,0.00,114.00,1.00,1.00,2.00,69.00
281.00,1292.00,9.00,719.00,2.00,7.00,0.00,6.00,7.00,542.00
282.00,517.00,237.00,0.00,0.00,208.00,0.00,1.00,9.00,62.00
283.00,1123.00,6.00,672.00,4.00,4.00,0.00,7.00,8.00,422.00
284.00,819.00,363.00,7.00,3.00,247.00,0.00,5.00,23.00,171.00
285.01,119.00,2.00,22.00,2.00,5.00,0.00,0.00,2.00,86.00
285.02,743.00,4.00,339.00,3.00,3.00,0.00,0.00,3.00,391.00
286.00,949.00,408.00,24.00,0.00,314.00,0.00,9.00,13.00,181.00
287.00,723.00,7.00,311.00,1.00,50.00,0.00,1.00,9.00,344.00
288.00,668.00,247.00,7.00,1.00,250.00,0.00,2.00,5.00,156.00
289.00,918.00,12.00,542.00,2.00,21.00,0.00,6.00,14.00,321.00
290.00,854.00,585.00,4.00,0.00,114.00,0.00,2.00,21.00,128.00
291.00,733.00,3.00,594.00,1.00,1.00,0.00,3.00,8.00,123.00
292.00,554.00,243.00,6.00,0.00,177.00,0.00,0.00,9.00,119.00
293.00,711.00,4.00,532.00,5.00,20.00,0.00,4.00,4.00,142.00
294.00,333.00,128.00,3.00,0.00,134.00,0.00,2.00,21.00,45.00
295.00,736.00,4.00,578.00,1.00,14.00,0.00,2.00,23.00,114.00
296.00,1140.00,584.00,9.00,3.00,328.00,0.00,4.00,37.00,175.00
297.00,755.00,22.00,660.00,1.00,3.00,0.00,2.00,20.00,47.00
298.00,807.00,290.00,11.00,0.00,287.00,0.00,4.00,6.00,209.00
299.00,776.00,14.00,585.00,0.00,7.00,0.00,1.00,6.00,163.00
300.00,903.00,286.00,4.00,1.00,473.00,0.00,5.00,17.00,117.00
301.00,713.00,6.00,597.00,0.00,4.00,0.00,1.00,8.00,97.00
302.00,840.00,259.00,2.00,0.00,491.00,0.00,0.00,14.00,74.00
303.00,1405.00,10.00,1108.00,5.00,10.00,0.00,15.00,15.00,242.00
304.00,856.00,295.00,16.00,1.00,397.00,0.00,3.00,14.00,130.00
305.00,847.00,50.00,475.00,0.00,62.00,1.00,10.00,41.00,208.00
306.00,430.00,146.00,1.00,0.00,147.00,0.00,1.00,26.00,109.00
307.00,1323.00,18.00,1075.00,2.00,1.00,0.00,2.00,14.00,211.00
308.00,315.00,134.00,5.00,0.00,94.00,0.00,2.00,2.00,78.00
309.00,519.00,4.00,422.00,0.00,2.00,0.00,0.00,2.00,89.00
311.00,772.00,11.00,608.00,0.00,13.00,0.00,6.00,21.00,113.00
313.00,864.00,23.00,704.00,3.00,6.00,0.00,1.00,23.00,104.00
314.00,751.00,353.00,3.00,1.00,250.00,0.00,4.00,20.00,120.00
315.00,996.00,34.00,797.00,0.00,6.00,0.00,6.00,38.00,115.00
317.01,696.00,26.00,595.00,0.00,15.00,0.00,3.00,9.00,48.00
317.02,610.00,47.00,443.00,0.00,3.00,0.00,8.00,32.00,77.00
319.00,908.00,401.00,428.00,0.00,2.00,0.00,2.00,18.00,57.00
321.00,1061.00,29.00,771.00,3.00,10.00,1.00,4.00,17.00,226.00
323.00,716.00,24.00,576.00,2.00,1.00,1.00,1.00,12.00,99.00
325.00,1509.00,25.00,1342.00,2.00,9.00,0.00,8.00,23.00,100.00
326.00,2062.00,95.00,937.00,8.00,156.00,0.00,6.00,21.00,839.00
327.00,544.00,26.00,434.00,1.00,1.00,0.00,0.00,19.00,63.00
328.00,744.00,28.00,334.00,3.00,163.00,0.00,1.00,25.00,190.00
329.00,1294.00,428.00,655.00,3.00,2.00,0.00,7.00,28.00,171.00
330.00,1282.00,91.00,676.00,4.00,37.00,0.00,1.00,24.00,449.00
331.00,1373.00,1012.00,292.00,0.00,1.00,1.00,5.00,12.00,50.00
333.00,1327.00,1048.00,225.00,0.00,0.00,0.00,2.00,13.00,39.00
335.00,859.00,663.00,163.00,0.00,0.00,0.00,0.00,7.00,26.00
336.00,1046.00,785.00,47.00,0.00,48.00,0.00,5.00,29.00,132.00
337.00,1084.00,691.00,333.00,0.00,1.00,0.00,0.00,20.00,39.00
339.00,918.00,98.00,694.00,1.00,7.00,0.00,9.00,23.00,86.00
340.00,356.00,23.00,160.00,0.00,4.00,0.00,2.00,8.00,159.00
341.00,497.00,19.00,399.00,1.00,0.00,0.00,9.00,20.00,49.00
342.00,1521.00,124.00,873.00,0.00,45.00,0.00,1.00,22.00,456.00
343.00,1510.00,25.00,1089.00,2.00,18.00,0.00,5.00,26.00,345.00
345.00,613.00,7.00,528.00,3.00,3.00,0.00,0.00,20.00,52.00
347.00,863.00,7.00,721.00,5.00,2.00,0.00,6.00,9.00,113.00
348.00,752.00,104.00,30.00,0.00,119.00,0.00,2.00,4.00,493.00
349.00,1318.00,50.00,1077.00,1.00,5.00,0.00,3.00,29.00,153.00
350.00,386.00,368.00,8.00,0.00,2.00,0.00,0.00,4.00,4.00
351.00,1220.00,261.00,784.00,1.00,11.00,0.00,9.00,12.00,142.00
352.00,75.00,16.00,20.00,2.00,3.00,0.00,0.00,0.00,34.00
353.00,1381.00,257.00,881.00,4.00,2.00,0.00,5.00,24.00,208.00
354.00,646.00,592.00,17.00,0.00,5.00,0.00,0.00,7.00,25.00
355.00,1300.00,269.00,877.00,2.00,7.00,1.00,11.00,12.00,121.00
356.01,253.00,213.00,19.00,0.00,0.00,0.00,2.00,4.00,15.00
356.02,553.00,505.00,9.00,0.00,2.00,0.00,0.00,10.00,27.00
357.00,814.00,10.00,612.00,5.00,1.00,0.00,1.00,13.00,172.00
359.00,1755.00,29.00,1443.00,3.00,5.00,0.00,7.00,19.00,249.00
360.01,256.00,234.00,2.00,0.00,1.00,0.00,2.00,1.00,16.00
360.02,307.00,216.00,6.00,0.00,18.00,0.00,3.00,5.00,59.00
361.00,697.00,11.00,530.00,9.00,0.00,0.00,6.00,12.00,129.00
362.00,892.00,166.00,9.00,2.00,228.00,0.00,11.00,13.00,463.00
363.00,1188.00,0.00,964.00,6.00,1.00,0.00,2.00,18.00,197.00
364.00,456.00,154.00,9.00,2.00,158.00,0.00,2.00,15.00,116.00
365.01,704.00,5.00,592.00,0.00,0.00,0.00,0.00,9.00,98.00
365.02,299.00,0.00,194.00,0.00,3.00,0.00,0.00,6.00,96.00
366.00,1061.00,222.00,12.00,11.00,384.00,0.00,8.00,25.00,399.00
367.00,375.00,1.00,234.00,0.00,2.00,0.00,1.00,3.00,134.00
369.00,1464.00,16.00,990.00,4.00,8.00,1.00,6.00,17.00,422.00
370.00,802.00,520.00,2.00,5.00,192.00,0.00,7.00,8.00,68.00
371.00,1223.00,12.00,989.00,7.00,2.00,0.00,2.00,33.00,178.00
373.00,1025.00,6.00,782.00,12.00,1.00,0.00,2.00,14.00,208.00
374.01,733.00,578.00,10.00,0.00,92.00,0.00,0.00,13.00,40.00
374.02,661.00,424.00,19.00,0.00,122.00,0.00,3.00,14.00,79.00
375.00,758.00,4.00,526.00,2.00,39.00,0.00,0.00,26.00,161.00
377.00,842.00,6.00,683.00,1.00,5.00,0.00,7.00,26.00,114.00
379.00,1002.00,5.00,795.00,3.00,2.00,0.00,0.00,14.00,183.00
381.00,1295.00,8.00,1021.00,8.00,9.00,0.00,2.00,19.00,228.00
382.00,1708.00,36.00,708.00,6.00,333.00,0.00,1.00,41.00,583.00
383.00,971.00,8.00,765.00,13.00,1.00,0.00,4.00,21.00,159.00
385.00,906.00,7.00,654.00,6.00,22.00,0.00,2.00,25.00,190.00
386.00,742.00,302.00,4.00,0.00,212.00,0.00,2.00,16.00,206.00
387.00,994.00,15.00,707.00,6.00,10.00,0.00,1.00,30.00,225.00
388.00,912.00,741.00,10.00,5.00,68.00,0.00,2.00,10.00,76.00
389.00,583.00,16.00,42.00,2.00,35.00,0.00,0.00,5.00,483.00
390.00,649.00,596.00,0.00,0.00,15.00,0.00,0.00,6.00,32.00
391.00,581.00,5.00,49.00,3.00,12.00,0.00,0.00,3.00,509.00
392.00,705.00,570.00,7.00,0.00,52.00,0.00,1.00,8.00,67.00
393.00,730.00,16.00,154.00,2.00,16.00,2.00,5.00,2.00,533.00
394.00,701.00,645.00,1.00,0.00,8.00,0.00,0.00,11.00,36.00
395.00,736.00,19.00,126.00,1.00,6.00,0.00,7.00,5.00,572.00
396.00,645.00,597.00,0.00,0.00,2.00,0.00,0.00,1.00,45.00
397.00,845.00,9.00,431.00,6.00,15.00,0.00,4.00,14.00,366.00
398.00,585.00,168.00,1.00,0.00,191.00,0.00,0.00,3.00,222.00
399.00,1079.00,23.00,420.00,4.00,28.00,0.00,6.00,12.00,586.00
400.00,585.00,176.00,1.00,0.00,220.00,0.00,11.00,11.00,166.00
401.00,844.00,10.00,375.00,0.00,8.00,3.00,5.00,6.00,437.00
402.00,547.00,139.00,7.00,0.00,271.00,0.00,1.00,9.00,120.00
