,census tract,total,White,   Black/ African American,     American Indian and Alaska Native,      Asian,Native Hawaiian and Other Pacific Islander,  Some Other Race,Two or More Races,Hispanic Origin (of any race)
Brooklyn,026600,761,274,0,2,339,0,0,14,132
Brooklyn,026700,751,20,576,1,10,0,4,26,114
Brooklyn,026800,893,406,3,0,293,0,4,6,181
Brooklyn,026900,529,32,404,2,13,0,2,15,61
Brooklyn,027000,521,326,2,0,152,0,1,5,35
Brooklyn,027100,599,4,467,1,39,0,2,11,75
Brooklyn,027200,796,347,0,1,272,0,3,10,163
Brooklyn,027300,577,14,492,1,8,0,0,16,46
Brooklyn,027400,620,256,3,0,256,0,1,27,77
Brooklyn,027500,806,27,621,9,10,0,0,37,102
Brooklyn,027600,819,261,10,5,301,0,12,6,224
Brooklyn,027700,"1,131",11,971,3,0,0,2,13,131
Brooklyn,027800,649,284,2,5,212,0,0,6,140
Brooklyn,027900,862,10,683,3,2,0,2,21,141
Brooklyn,028000,312,125,0,0,114,1,1,2,69
Brooklyn,028100,"1,292",9,719,2,7,0,6,7,542
Brooklyn,028200,517,237,0,0,208,0,1,9,62
Brooklyn,028300,"1,123",6,672,4,4,0,7,8,422
Brooklyn,028400,819,363,7,3,247,0,5,23,171
Brooklyn,028501,119,2,22,2,5,0,0,2,86
Brooklyn,028502,743,4,339,3,3,0,0,3,391
Brooklyn,028600,949,408,24,0,314,0,9,13,181
Brooklyn,028700,723,7,311,1,50,0,1,9,344
Brooklyn,028800,668,247,7,1,250,0,2,5,156
Brooklyn,028900,918,12,542,2,21,0,6,14,321
Brooklyn,029000,854,585,4,0,114,0,2,21,128
Brooklyn,029100,733,3,594,1,1,0,3,8,123
Brooklyn,029200,554,243,6,0,177,0,0,9,119
Brooklyn,029300,711,4,532,5,20,0,4,4,142
Brooklyn,029400,333,128,3,0,134,0,2,21,45
Brooklyn,029500,736,4,578,1,14,0,2,23,114
Brooklyn,029600,"1,140",584,9,3,328,0,4,37,175
Brooklyn,029700,755,22,660,1,3,0,2,20,47
Brooklyn,029800,807,290,11,0,287,0,4,6,209
Brooklyn,029900,776,14,585,0,7,0,1,6,163
Brooklyn,030000,903,286,4,1,473,0,5,17,117
Brooklyn,030100,713,6,597,0,4,0,1,8,97
Brooklyn,030200,840,259,2,0,491,0,0,14,74
Brooklyn,030300,"1,405",10,"1,108",5,10,0,15,15,242
Brooklyn,030400,856,295,16,1,397,0,3,14,130
Brooklyn,030500,847,50,475,0,62,1,10,41,208
Brooklyn,030600,430,146,1,0,147,0,1,26,109
Brooklyn,030700,"1,323",18,"1,075",2,1,0,2,14,211
Brooklyn,030800,315,134,5,0,94,0,2,2,78
Brooklyn,030900,519,4,422,0,2,0,0,2,89
Brooklyn,031100,772,11,608,0,13,0,6,21,113
Brooklyn,031300,864,23,704,3,6,0,1,23,104
Brooklyn,031400,751,353,3,1,250,0,4,20,120
Brooklyn,031500,996,34,797,0,6,0,6,38,115
Brooklyn,031701,696,26,595,0,15,0,3,9,48
Brooklyn,031702,610,47,443,0,3,0,8,32,77
Brooklyn,031900,908,401,428,0,2,0,2,18,57
Brooklyn,032100,"1,061",29,771,3,10,1,4,17,226
Brooklyn,032300,716,24,576,2,1,1,1,12,99
Brooklyn,032500,"1,509",25,"1,342",2,9,0,8,23,100
Brooklyn,032600,"2,062",95,937,8,156,0,6,21,839
Brooklyn,032700,544,26,434,1,1,0,0,19,63
Brooklyn,032800,744,28,334,3,163,0,1,25,190
Brooklyn,032900,"1,294",428,655,3,2,0,7,28,171
Brooklyn,033000,"1,282",91,676,4,37,0,1,24,449
Brooklyn,033100,"1,373","1,012",292,0,1,1,5,12,50
Brooklyn,033300,"1,327","1,048",225,0,0,0,2,13,39
Brooklyn,033500,859,663,163,0,0,0,0,7,26
Brooklyn,033600,"1,046",785,47,0,48,0,5,29,132
Brooklyn,033700,"1,084",691,333,0,1,0,0,20,39
Brooklyn,033900,918,98,694,1,7,0,9,23,86
Brooklyn,034000,356,23,160,0,4,0,2,8,159
Brooklyn,034100,497,19,399,1,0,0,9,20,49
Brooklyn,034200,"1,521",124,873,0,45,0,1,22,456
Brooklyn,034300,"1,510",25,"1,089",2,18,0,5,26,345
Brooklyn,034500,613,7,528,3,3,0,0,20,52
Brooklyn,034700,863,7,721,5,2,0,6,9,113
Brooklyn,034800,752,104,30,0,119,0,2,4,493
Brooklyn,034900,"1,318",50,"1,077",1,5,0,3,29,153
Brooklyn,035000,386,368,8,0,2,0,0,4,4
Brooklyn,035100,"1,220",261,784,1,11,0,9,12,142
Brooklyn,035200,75,16,20,2,3,0,0,0,34
Brooklyn,035300,"1,381",257,881,4,2,0,5,24,208
Brooklyn,035400,646,592,17,0,5,0,0,7,25
Brooklyn,035500,"1,300",269,877,2,7,1,11,12,121
Brooklyn,035601,253,213,19,0,0,0,2,4,15
Brooklyn,035602,553,505,9,0,2,0,0,10,27
Brooklyn,035700,814,10,612,5,1,0,1,13,172
Brooklyn,035900,"1,755",29,"1,443",3,5,0,7,19,249
Brooklyn,036001,256,234,2,0,1,0,2,1,16
Brooklyn,036002,307,216,6,0,18,0,3,5,59
Brooklyn,036100,697,11,530,9,0,0,6,12,129
Brooklyn,036200,892,166,9,2,228,0,11,13,463
Brooklyn,036300,"1,188",0,964,6,1,0,2,18,197
Brooklyn,036400,456,154,9,2,158,0,2,15,116
Brooklyn,036501,704,5,592,0,0,0,0,9,98
Brooklyn,036502,299,0,194,0,3,0,0,6,96
Brooklyn,036600,"1,061",222,12,11,384,0,8,25,399
Brooklyn,036700,375,1,234,0,2,0,1,3,134
Brooklyn,036900,"1,464",16,990,4,8,1,6,17,422
Brooklyn,037000,802,520,2,5,192,0,7,8,68
Brooklyn,037100,"1,223",12,989,7,2,0,2,33,178
Brooklyn,037300,"1,025",6,782,12,1,0,2,14,208
Brooklyn,037401,733,578,10,0,92,0,0,13,40
Brooklyn,037402,661,424,19,0,122,0,3,14,79
Brooklyn,037500,758,4,526,2,39,0,0,26,161
Brooklyn,037700,842,6,683,1,5,0,7,26,114
Brooklyn,037900,"1,002",5,795,3,2,0,0,14,183
Brooklyn,038100,"1,295",8,"1,021",8,9,0,2,19,228
Brooklyn,038200,"1,708",36,708,6,333,0,1,41,583
Brooklyn,038300,971,8,765,13,1,0,4,21,159
Brooklyn,038500,906,7,654,6,22,0,2,25,190
Brooklyn,038600,742,302,4,0,212,0,2,16,206
Brooklyn,038700,994,15,707,6,10,0,1,30,225
Brooklyn,038800,912,741,10,5,68,0,2,10,76
Brooklyn,038900,583,16,42,2,35,0,0,5,483
Brooklyn,039000,649,596,0,0,15,0,0,6,32
Brooklyn,039100,581,5,49,3,12,0,0,3,509
Brooklyn,039200,705,570,7,0,52,0,1,8,67
Brooklyn,039300,730,16,154,2,16,2,5,2,533
Brooklyn,039400,701,645,1,0,8,0,0,11,36
Brooklyn,039500,736,19,126,1,6,0,7,5,572
