,,a_year_before,target,year,Wht%,Blc%,Ind%,Asn%,Mix%,His%,0-4,5-9,10-14
64,1,27,22,20022003,0.607541899,0.015363128,0,0.097765363,0.025139665,0.231843575,4,-7,-3
64,2,29,28,20022003,0.607541899,0.015363128,0,0.097765363,0.025139665,0.231843575,4,-7,-3
64,3,23,31,20022003,0.607541899,0.015363128,0,0.097765363,0.025139665,0.231843575,4,-7,-3
64,4,21,27,20022003,0.607541899,0.015363128,0,0.097765363,0.025139665,0.231843575,4,-7,-3
64,5,24,20,20022003,0.607541899,0.015363128,0,0.097765363,0.025139665,0.231843575,4,-7,-3
66,K,32,21,20022003,0.577524893,0.009957326,0,0.088193457,0.048364154,0.271692745,4,-5,-1
66,1,26,36,20022003,0.577524893,0.009957326,0,0.088193457,0.048364154,0.271692745,4,-5,-1
66,2,34,31,20022003,0.577524893,0.009957326,0,0.088193457,0.048364154,0.271692745,4,-5,-1
66,3,25,33,20022003,0.577524893,0.009957326,0,0.088193457,0.048364154,0.271692745,4,-5,-1
66,4,18,22,20022003,0.577524893,0.009957326,0,0.088193457,0.048364154,0.271692745,4,-5,-1
66,5,26,16,20022003,0.577524893,0.009957326,0,0.088193457,0.048364154,0.271692745,4,-5,-1
68,K,46,56,20022003,0.461276596,0.025531915,0.001702128,0.142978723,0.039148936,0.320851064,5,-9,-3
68,1,56,49,20022003,0.461276596,0.025531915,0.001702128,0.142978723,0.039148936,0.320851064,5,-9,-3
68,2,56,55,20022003,0.461276596,0.025531915,0.001702128,0.142978723,0.039148936,0.320851064,5,-9,-3
68,3,66,59,20022003,0.461276596,0.025531915,0.001702128,0.142978723,0.039148936,0.320851064,5,-9,-3
68,4,42,71,20022003,0.461276596,0.025531915,0.001702128,0.142978723,0.039148936,0.320851064,5,-9,-3
68,5,53,47,20022003,0.461276596,0.025531915,0.001702128,0.142978723,0.039148936,0.320851064,5,-9,-3
70,K,21,14,20022003,0.504830918,0.04589372,0,0.149758454,0.050724638,0.246376812,1,-3,-2
70,1,17,21,20022003,0.504830918,0.04589372,0,0.149758454,0.050724638,0.246376812,1,-3,-2
70,2,22,17,20022003,0.504830918,0.04589372,0,0.149758454,0.050724638,0.246376812,1,-3,-2
70,3,15,19,20022003,0.504830918,0.04589372,0,0.149758454,0.050724638,0.246376812,1,-3,-2
70,4,13,13,20022003,0.504830918,0.04589372,0,0.149758454,0.050724638,0.246376812,1,-3,-2
70,5,9,15,20022003,0.504830918,0.04589372,0,0.149758454,0.050724638,0.246376812,1,-3,-2
72,K,21,19,20022003,0.083507307,0.002087683,0,0.189979123,0.008350731,0.716075157,3,-3,-2
72,1,23,24,20022003,0.083507307,0.002087683,0,0.189979123,0.008350731,0.716075157,3,-3,-2
72,2,39,25,20022003,0.083507307,0.002087683,0,0.189979123,0.008350731,0.716075157,3,-3,-2
72,3,28,39,20022003,0.083507307,0.002087683,0,0.189979123,0.008350731,0.716075157,3,-3,-2
72,4,19,25,20022003,0.083507307,0.002087683,0,0.189979123,0.008350731,0.716075157,3,-3,-2
72,5,26,20,20022003,0.083507307,0.002087683,0,0.189979123,0.008350731,0.716075157,3,-3,-2
74,K,89,82,20022003,0.030589949,0.007283321,0.000728332,0.200291333,0.013109978,0.747997087,5,-9,-2
74,1,105,94,20022003,0.030589949,0.007283321,0.000728332,0.200291333,0.013109978,0.747997087,5,-9,-2
74,2,82,98,20022003,0.030589949,0.007283321,0.000728332,0.200291333,0.013109978,0.747997087,5,-9,-2
74,3,81,87,20022003,0.030589949,0.007283321,0.000728332,0.200291333,0.013109978,0.747997087,5,-9,-2
74,4,63,72,20022003,0.030589949,0.007283321,0.000728332,0.200291333,0.013109978,0.747997087,5,-9,-2
74,5,75,62,20022003,0.030589949,0.007283321,0.000728332,0.200291333,0.013109978,0.747997087,5,-9,-2
75,K,1,0,20022003,0.713315217,0.014945652,0,0.029891304,0.089673913,0.139945652,5,-5,-1
75,1,0,1,20022003,0.713315217,0.014945652,0,0.029891304,0.089673913,0.139945652,5,-5,-1
75,2,0,0,20022003,0.713315217,0.014945652,0,0.029891304,0.089673913,0.139945652,5,-5,-1
75,3,0,0,20022003,0.713315217,0.014945652,0,0.029891304,0.089673913,0.139945652,5,-5,-1
75,4,0,0,20022003,0.713315217,0.014945652,0,0.029891304,0.089673913,0.139945652,5,-5,-1
75,5,0,0,20022003,0.713315217,0.014945652,0,0.029891304,0.089673913,0.139945652,5,-5,-1
76,K,38,32,20022003,0.043086172,0.007014028,0.004008016,0.121242485,0.01002004,0.799599198,5,-8,-2
76,1,46,39,20022003,0.043086172,0.007014028,0.004008016,0.121242485,0.01002004,0.799599198,5,-8,-2
76,2,40,50,20022003,0.043086172,0.007014028,0.004008016,0.121242485,0.01002004,0.799599198,5,-8,-2
76,3,34,44,20022003,0.043086172,0.007014028,0.004008016,0.121242485,0.01002004,0.799599198,5,-8,-2
76,4,34,30,20022003,0.043086172,0.007014028,0.004008016,0.121242485,0.01002004,0.799599198,5,-8,-2
76,5,40,25,20022003,0.043086172,0.007014028,0.004008016,0.121242485,0.01002004,0.799599198,5,-8,-2
78,K,0,0,20022003,0.029664325,0.022638564,0.00234192,0.075722092,0.012490242,0.854800937,5,-8,-2
