,2010 Census Tract,Wht%,Blc%,Ind%,Asn%,Mix%,His%,20002001_0-4,20002001_5-9,20002001_10-14,20012002_0-4,20012002_5-9,20012002_10-14,20022003_0-4,20022003_5-9,20022003_10-14,20032004_0-4,20032004_5-9,20032004_10-14,20042005_0-4,20042005_5-9,20042005_10-14,20052006_0-4,20052006_5-9,20052006_10-14,20062007_0-4,20062007_5-9,20062007_10-14,20072008_0-4,20072008_5-9,20072008_10-14,20082009_0-4,20082009_5-9,20082009_10-14,20092010_0-4,20092010_5-9,20092010_10-14,20102011_0-4,20102011_5-9,20102011_10-14,20112012_0-4,20112012_5-9,20112012_10-14,20122013_0-4,20122013_5-9,20122013_10-14,20132014_0-4,20132014_5-9,20132014_10-14,20142015_0-4,20142015_5-9,20142015_10-14,20152016_0-4,20152016_5-9,20152016_10-14,20162017_0-4,20162017_5-9,20162017_10-14,20172018_0-4,20172018_5-9,20172018_10-14
24,74.0,0.03058994901675164,0.007283321194464676,0.0007283321194464676,0.20029133284777859,0.013109978150036417,0.7479970866715222,-30,23,6,10,-10,5,5,-9,-2,16,-6,-3,6,-4,-5,-12,11,1,-8,-14,-15,8,17,-6,3.0,5.0,-19.0,-49.0,-45.0,-6.0,3,6,7,3,6,8,3,5,7,3,5,7,3,7,7,1,1,1,2,2,0,1,2,0
25,75.0,0.7133152173913043,0.014945652173913044,0.0,0.029891304347826088,0.08967391304347826,0.13994565217391305,97,29,32,7,-6,1,5,-5,-1,11,-3,0,5,-2,-4,-10,7,2,-6,-8,-6,6,10,-2,3.0,0.0,-9.0,-36.0,-20.0,-1.0,2,3,3,2,3,3,3,3,4,2,4,3,2,3,4,1,0,-1,1,1,0,0,0,-1
26,76.0,0.04308617234468938,0.0070140280561122245,0.004008016032064128,0.12124248496993988,0.01002004008016032,0.7995991983967936,-21,-16,-26,8,-7,3,5,-8,-2,13,-4,-2,6,-2,-4,-12,8,1,-6,-10,-10,7,11,-4,2.0,2.0,-15.0,-40.0,-31.0,-4.0,2,4,5,3,4,5,2,5,5,3,4,6,2,3,4,1,2,1,1,1,-1,2,1,1
27,78.0,0.02966432474629196,0.02263856362217018,0.00234192037470726,0.07572209211553474,0.01249024199843872,0.8548009367681498,-55,-67,20,10,-9,4,5,-8,-2,15,-6,-2,6,-3,-6,-12,9,1,-8,-13,-13,8,15,-6,3.0,4.0,-17.0,-46.0,-39.0,-7.0,2,5,7,3,5,7,3,5,7,3,5,6,3,5,7,1,1,0,1,2,0,1,2,0
28,80.0,0.0556640625,0.0166015625,0.001953125,0.0439453125,0.0078125,0.8671875,-57,19,46,6,-8,4,5,-7,-2,12,-5,-2,5,-2,-4,-10,8,0,-5,-10,-11,5,12,-5,2.0,4.0,-15.0,-36.0,-33.0,-4.0,3,5,6,2,4,6,2,4,5,2,5,6,2,3,7,1,2,-1,1,1,0,1,1,0
29,82.0,0.07192118226600985,0.03251231527093596,0.0019704433497536944,0.06896551724137931,0.009852216748768473,0.812807881773399,-31,-82,0,8,-7,3,5,-6,-2,11,-4,-1,6,-3,-5,-11,7,1,-6,-9,-11,6,12,-4,3.0,2.0,-14.0,-37.0,-30.0,-5.0,2,4,5,2,4,5,3,4,7,2,3,5,3,5,5,0,1,1,2,1,-1,0,0,0
30,90.0,0.07528230865746549,0.015056461731493099,0.0012547051442910915,0.4203262233375157,0.0012547051442910915,0.48306148055207027,54,19,10,7,-6,1,4,-4,0,10,-4,-1,6,-3,-3,-10,7,0,-5,-7,-6,5,10,-2,3.0,1.0,-11.0,-35.0,-24.0,-2.0,3,3,4,2,3,3,2,3,3,2,3,4,2,4,3,1,0,0,1,1,0,1,2,1
31,94.0,0.17494600431965443,0.005759539236861051,0.0028797696184305254,0.6090712742980562,0.012239020878329733,0.19222462203023757,122,99,-24,12,-12,4,6,-10,-3,18,-6,-1,7,-5,-6,-15,12,1,-9,-14,-13,9,18,-6,4.0,2.0,-19.0,-55.0,-45.0,-4.0,3,6,6,4,6,7,3,6,7,4,6,7,3,6,6,2,2,0,0,2,1,2,1,0
32,96.0,0.05488194001276324,0.008296107211231652,0.004467134652201659,0.2635609444798979,0.01148691767708998,0.6534779834077856,36,-1,-39,12,-11,5,9,-10,-2,20,-8,-3,10,-3,-6,-18,13,2,-10,-16,-15,10,19,-5,5.0,5.0,-19.0,-65.0,-49.0,-6.0,4,6,8,4,7,7,4,6,8,4,7,7,4,7,8,1,1,0,2,2,-1,2,3,0
33,98.0,0.041578947368421056,0.007894736842105263,0.0015789473684210526,0.3742105263157895,0.013157894736842105,0.5610526315789474,87,18,109,16,-13,7,9,-12,-2,25,-7,-2,10,-5,-8,-20,15,1,-13,-18,-18,12,23,-9,6.0,5.0,-27.0,-77.0,-57.0,-8.0,5,8,10,4,7,10,5,7,10,4,7,10,5,7,10,2,3,0,3,2,1,1,2,0
34,100.0,0.07248157248157248,0.006142506142506142,0.0012285012285012285,0.4987714987714988,0.012899262899262898,0.4023341523341523,13,-40,-50,12,-11,4,7,-12,-3,20,-8,-3,9,-4,-6,-17,11,0,-10,-16,-16,10,19,-7,4.0,5.0,-21.0,-61.0,-52.0,-7.0,4,6,8,4,7,8,3,7,8,4,7,8,4,6,8,1,2,0,2,2,0,1,2,1
35,102.0,0.02972560975609756,0.009908536585365854,0.0,0.6463414634146342,0.01676829268292683,0.2942073170731707,141,80,17,11,-10,4,7,-9,-1,17,-6,-2,9,-4,-5,-16,11,1,-9,-14,-11,10,17,-5,3.0,2.0,-16.0,-55.0,-42.0,-5.0,3,6,6,4,5,6,3,6,6,4,5,6,3,6,5,1,2,0,1,2,0,2,1,1
36,104.0,0.05829596412556054,0.01046337817638266,0.0029895366218236174,0.8423019431988041,0.023168908819133034,0.06278026905829596,24,76,81,10,-10,3,6,-11,-3,17,-7,-3,6,-4,-6,-13,11,0,-8,-14,-13,7,17,-6,5.0,5.0,-17.0,-51.0,-43.0,-4.0,3,6,7,3,5,7,3,6,7,3,6,6,3,5,7,2,2,1,1,1,-1,2,2,0
